Year,GDP (Millions of Dollars)
1997-01-01,11539.2
1998-01-01,10532.2
1999-01-01,11130.3
2000-01-01,10182.2
2001-01-01,18979.6
2002-01-01,12678.2
2003-01-01,16474.5
2004-01-01,30268.5
2005-01-01,26603.8
2006-01-01,28454.2
2007-01-01,44654.4
2008-01-01,26751.0
2009-01-01,24161.0
2010-01-01,33190.1
2011-01-01,53496.5
2012-01-01,48542.0
2013-01-01,53293.5
2014-01-01,26999.9
2015-01-01,34871.1
2016-01-01,19556.7
2017-01-01,29152.0
2018-01-01,40114.1
2019-01-01,35177.2
2020-01-01,17255.0
2021-01-01,39675.3
2022-01-01,76804.5
2023-01-01,75701.3
2024-01-01,73075.6
