Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,2600.0,2593.0,2604.0,2578.0,2577.0,2568.0,2537.0,2528.0,2534.0,2528.0,2505.0,2505.0
1982,2494.0,2518.0,2526.0,2533.0,2500.0,2478.0,2464.0,2455.0,2487.0,2470.0,2483.0,2455.0
1983,2444.0,2466.0,2453.0,2461.0,2428.0,2434.0,2417.0,2400.0,2424.0,2415.0,2428.0,2265.0
1984,2469.0,2427.0,2436.0,2425.0,2413.0,2408.0,2399.0,2391.0,2399.0,2388.0,2401.0,2402.0
1985,2366.0,2370.0,2390.0,2461.0,2387.0,2365.0,2366.0,2372.0,2355.0,2374.0,2390.0,2381.0
1986,2391.0,2384.0,2366.0,2313.0,2271.0,2227.0,2214.0,2178.0,2163.0,2150.0,2153.0,2144.0
1987,2133.0,2143.0,2134.0,2125.0,2079.0,2061.0,2054.0,2045.0,2054.0,2069.0,2070.0,2054.0
1988,2062.0,2068.0,2060.0,2043.0,2024.0,2012.0,1988.0,1983.0,1967.0,1982.0,1972.0,1956.0
1989,1959.0,1911.0,1929.0,1924.0,1906.0,1879.0,1871.0,1868.0,1857.0,1854.0,1864.0,1803.0
1990,1873.0,1882.0,1858.0,1846.0,1840.0,1822.0,1826.0,1848.0,1851.0,1897.0,1900.0,1865.0
1991,1917.0,1931.0,1913.0,1905.0,1887.0,1844.0,1841.0,1849.0,1843.0,1844.0,1847.0,1824.0
1992,1817.0,1812.0,1814.0,1802.0,1773.0,1755.0,1758.0,1765.0,1764.0,1769.0,1753.0,1751.0
1993,1747.0,1744.0,1736.0,1723.0,1704.0,1691.0,1668.0,1673.0,1667.0,1669.0,1673.0,1663.0
1994,1669.0,1663.0,1660.0,1646.0,1634.0,1611.0,1596.0,1592.0,1589.0,1577.0,1592.0,1595.0
1995,1582.0,1578.0,1562.0,1557.0,1539.0,1520.0,1506.0,1504.0,1504.0,1520.0,1524.0,1508.0
1996,1507.0,1502.0,1521.0,1513.0,1497.0,1480.0,1466.0,1458.0,1468.0,1473.0,1460.0,1471.0
1997,1456.0,1491.0,1479.0,1482.0,1472.0,1471.0,1461.0,1452.0,1466.0,1469.0,1482.0,1462.0
1998,1481.0,1475.0,1456.0,1434.0,1410.0,1387.0,1346.0,1347.0,1340.0,1328.0,1324.0,1272.0
1999,1264.0,1266.0,1244.0,1235.0,1231.0,1205.0,1206.0,1197.0,1215.0,1229.0,1239.0,1241.0
2000,1234.0,1242.0,1234.0,1228.0,1213.0,1208.0,1197.0,1199.0,1196.0,1194.0,1195.0,1199.0
2001,1194.0,1188.0,1181.0,1182.0,1168.0,1154.0,1153.0,1149.0,1138.0,1154.0,1142.0,1149.0
2002,1144.0,1141.0,1126.0,1122.0,1116.0,1099.0,1093.0,1096.0,1097.0,1096.0,1108.0,1105.0
2003,1108.0,1109.0,1115.0,1109.0,1098.0,1085.0,1083.0,1082.0,1095.0,1099.0,1095.0,1096.0
2004,1090.0,1093.0,1089.0,1082.0,1072.0,1057.0,1057.0,1059.0,1067.0,1067.0,1069.0,1074.0
2005,1088.0,1097.0,1098.0,1090.0,1079.0,1070.0,1061.0,1065.0,1038.0,1070.0,1080.0,1073.0
2006,1085.0,1087.0,1087.0,1079.0,1070.0,1065.0,1062.0,1058.0,1071.0,1079.0,1084.0,1078.0
2007,1058.0,1078.0,1080.0,1083.0,1072.0,1058.0,1059.0,1064.0,1069.0,1072.0,1084.0,1087.0
2008,1094.0,1104.0,1114.0,1113.0,1110.0,1097.0,1111.0,1110.0,1055.0,1125.0,1141.0,1134.0
2009,1133.0,1128.0,1118.0,1110.0,1089.0,1071.0,1063.0,1067.0,1081.0,1081.0,1102.0,1091.0
2010,1099.0,1121.0,1137.0,1137.0,1146.0,1139.0,1152.0,1168.0,1191.0,1215.0,1244.0,1279.0
2011,1281.0,1228.0,1337.0,1349.0,1393.0,1401.0,1437.0,1491.0,1538.0,1596.0,1661.0,1690.0
2012,1727.0,1773.0,1801.0,1871.0,1914.0,1950.0,1999.0,2056.0,2091.0,2156.0,2221.0,2234.0
2013,2275.0,2337.0,2390.0,2425.0,2497.0,2534.0,2584.0,2618.0,2672.0,2693.0,2696.0,2784.0
2014,2845.0,2900.0,2964.0,3051.0,3071.0,3145.0,3221.0,3274.0,3286.0,3361.0,3451.0,3547.0
2015,3442.0,3557.0,3619.0,3571.0,3511.0,3457.0,3443.0,3409.0,3410.0,3393.0,3389.0,3322.0
2016,3347.0,3307.0,3264.0,3227.0,3171.0,3147.0,3146.0,3145.0,3129.0,3164.0,3172.0,3170.0
2017,3199.0,3311.0,3321.0,3329.0,3409.0,3441.0,3467.0,3367.0,3551.0,3763.0,3890.0,3936.0
2018,3896.0,4024.0,4186.0,4230.0,4239.0,4373.0,4417.0,4579.0,4675.0,4696.0,4815.0,4866.0
2019,4809.0,4879.0,4869.0,4972.0,5005.0,5046.0,5113.0,5172.0,5250.0,5336.0,5399.0,5446.0
2020,5454.0,5406.0,5452.0,5125.0,4227.0,4599.0,4720.0,4672.0,4635.0,4642.0,4658.0,4635.0
2021,4638.0,3770.0,4786.0,4795.0,4792.0,4779.0,4833.0,4893.0,4988.0,4996.0,5022.0,5041.0
2022,4890.0,4906.0,5057.0,5095.0,5039.0,5069.0,5110.0,5187.0,5283.0,5311.0,5323.0,5218.0
2023,5328.0,5309.0,5469.0,5430.0,5462.0,5436.0,5524.0,5543.0,5524.0,5555.0,5639.0,5582.0
2024,5327.0,5524.0,5583.0,5637.0,5688.0,5756.0,5700.0,5805.0,5798.0,5832.0,5768.0,5685.0
2025,5579.0,5665.0,5663.0,5750.0,5711.0,5715.0,5802.0,,,,,
