Year,Well_Count
2018,187401
2017,187139
2016,178927
2015,193807
2014,190331
2013,179797
2012,167864
2011,161402
2010,158451
2009,157807
2008,156588
2007,153223
2006,151832
2005,151286
2004,151205
2003,153461
2002,155865
2001,159357
2000,161097
1999,162620
1998,170288
1997,175475
1996,175277
1995,177397
1994,179955
1993,186342
1992,193310
1991,196292
1990,194962
1989,190821
1988,196580
1987,199354
1986,200055
1985,210477
1984,207451
1983,197983
1982,191319
1981,183991
1980,175673
1979,169826
1978,166365
1977,163746
1976,160546
1975,160603
1974,159702
1973,159090
1972,167233
1971,172696
1970,177221
1969,183141
1968,187681
1967,192100
1966,196308
1965,197924
1964,199119
1963,198236
1962,197659
1961,196396
1960,192627
1959,188934
1958,182633
1957,176705
1956,168930
1955,158598
1954,149142
1953,142159
1952,136398
1951,130309
1950,123271
1949,115483
1948,109643
1947,105537
1946,103109
1945,101225
1944,99746
1943,98596
1942,98757
1941,98802
1940,95214
1939,89914
1938,85137
1937,77565
1936,68054
1935,59461
